Municipality,2017,2018,2019,2020,2021,2022,2023
3312 Lier,.,.,.,.,.,.,.
3314 Øvre Eiker,.,.,.,.,.,.,.
3316 Modum,.,.,.,.,.,.,.
3318 Krødsherad,.,.,.,.,.,.,.
3320 Flå,.,.,.,.,.,.,.
3322 Nesbyen,.,.,.,.,.,.,.
3324 Gol,.,.,.,.,.,.,.
3326 Hemsedal,.,.,.,.,.,.,.
3328 Ål,.,.,.,.,.,.,.
3330 Hol,.,.,.,.,.,.,.
3332 Sigdal,.,.,.,.,.,.,.
3334 Flesberg,.,.,.,.,.,.,.
3336 Rollag,.,.,.,.,.,.,.
3338 Nore og Uvdal,.,.,.,.,.,.,.
0602 Drammen (-2019),5.8,3.8,1.5,.,.,.,.
0604 Kongsberg (-2019),1.8,1.8,1.1,.,.,.,.
0605 Ringerike (-2019),3.0,1.0,2.5,.,.,.,.
0612 Hole (-2019),7.0,2.1,0.3,.,.,.,.
0615 Flå (-2019),5.7,3.2,1.6,.,.,.,.
0616 Nes (Buskerud) (-2019),-0.7,-1.2,-3.5,.,.,.,.
0617 Gol (-2019),2.6,-0.3,-2.0,.,.,.,.
0618 Hemsedal (-2019),5.4,1.9,2.3,.,.,.,.
0619 Ål (-2019),1.6,3.9,3.0,.,.,.,.
0620 Hol (-2019),2.5,-0.9,-0.5,.,.,.,.
0621 Sigdal (-2019),4.1,1.6,-0.4,.,.,.,.
0622 Krødsherad (-2019),9.5,8.2,4.3,.,.,.,.
0623 Modum (-2019),2.1,1.6,1.2,.,.,.,.
0624 Øvre Eiker (-2019),2.6,1.1,1.7,.,.,.,.
0625 Nedre Eiker (-2019),4.1,2.7,-0.3,.,.,.,.
0626 Lier (-2019),1.8,2.3,2.5,.,.,.,.
0627 Røyken (-2019),1.1,0.8,0.6,.,.,.,.
0628 Hurum (-2019),0.2,-3.2,-1.9,.,.,.,.
0631 Flesberg (-2019),5.6,0.6,-1.5,.,.,.,.
0632 Rollag (-2019),2.4,0.0,0.3,.,.,.,.
0633 Nore og Uvdal (-2019),4.6,-0.7,0.2,.,.,.,.
3901 Horten,.,.,.,.,.,.,.
3903 Holmestrand,.,.,.,.,.,.,.
3905 Tønsberg,.,.,.,.,.,.,.
3907 Sandefjord,.,.,.,.,.,.,.
3909 Larvik,.,.,.,.,.,.,.
3911 Færder,.,.,.,.,.,.,.
4001 Porsgrunn,.,.,.,.,.,.,.
4003 Skien,.,.,.,.,.,.,.
4005 Notodden,.,.,.,.,.,.,.
4010 Siljan,.,.,.,.,.,.,.
4012 Bamble,.,.,.,.,.,.,.
4014 Kragerø,.,.,.,.,.,.,.
4016 Drangedal,.,.,.,.,.,.,.
4018 Nome,.,.,.,.,.,.,.
4020 Midt-Telemark,.,.,.,.,.,.,.
4022 Seljord,.,.,.,.,.,.,.
4024 Hjartdal,.,.,.,.,.,.,.
4026 Tinn,.,.,.,.,.,.,.
4028 Kviteseid,.,.,.,.,.,.,.
4030 Nissedal,.,.,.,.,.,.,.
4032 Fyresdal,.,.,.,.,.,.,.
4034 Tokke,.,.,.,.,.,.,.
4036 Vinje,.,.,.,.,.,.,.
3801 Horten (2020-2023),.,.,.,0.7,4.2,1.2,-0.4
3802 Holmestrand (2020-2023),.,.,.,2.6,3.8,3.3,1.6
3803 Tønsberg (2020-2023),.,.,.,1.8,5.4,3.3,-2.2
3804 Sandefjord (2020-2023),.,.,.,4.8,7.0,3.6,4.8
3805 Larvik (2020-2023),.,.,.,2.2,6.0,-0.5,1.7
3806 Porsgrunn (2020-2023),.,.,.,1.9,2.9,4.8,6.0
3807 Skien (2020-2023),.,.,.,2.0,2.5,2.6,2.6
3808 Notodden (2020-2023),.,.,.,1.4,2.4,-0.3,0.1
3811 Færder (2020-2023),.,.,.,1.6,4.0,2.1,-1.7
3812 Siljan (2020-2023),.,.,.,-0.6,4.7,0.3,-0.3
3813 Bamble (2020-2023),.,.,.,2.9,2.5,-2.3,-0.5
3814 Kragerø (2020-2023),.,.,.,-1.1,1.6,-3.0,-5.9
3815 Drangedal (2020-2023),.,.,.,-0.6,3.5,3.5,2.7
3816 Nome (2020-2023),.,.,.,0.5,4.8,5.7,-2.4
3817 Midt-Telemark (2020-2023),.,.,.,-2.6,1.7,-0.7,-2.4
3818 Tinn (2020-2023),.,.,.,4.5,10.2,8.4,13.2
3819 Hjartdal (2020-2023),.,.,.,1.5,-3.8,2.6,0.2
3820 Seljord (2020-2023),.,.,.,1.8,1.8,3.6,2.0
3821 Kviteseid (2020-2023),.,.,.,-1.9,2.2,3.1,5.2
3822 Nissedal (2020-2023),.,.,.,-2.8,3.8,0.3,5.5
3823 Fyresdal (2020-2023),.,.,.,2.9,5.9,6.0,13.5
3824 Tokke (2020-2023),.,.,.,3.6,7.5,12.4,6.0
3825 Vinje (2020-2023),.,.,.,0.2,8.7,7.0,4.7
0701 Horten (-2019),2.5,2.9,2.2,.,.,.,.
0702 Holmestrand (-2017),0.7,.,.,.,.,.,.
0704 Tønsberg (-2019),4.5,0.8,-0.4,.,.,.,.
0706 Sandefjord (-2016),.,.,.,.,.,.,.
0709 Larvik (-2017),1.2,.,.,.,.,.,.
0710 Sandefjord (2017-2019),5.8,4.2,4.8,.,.,.,.
0711 Svelvik (-2019),3.7,-1.4,-0.4,.,.,.,.
0712 Larvik (2018-2019),.,-0.3,3.3,.,.,.,.
0713 Sande (Vestfold) (-2019),1.7,1.5,4.1,.,.,.,.
0714 Hof (-2017),-1.2,.,.,.,.,.,.
0715 Holmestrand (2018-2019),.,-2.1,-4.6,.,.,.,.
0716 Re (-2019),1.7,-1.9,1.1,.,.,.,.
